First Name,Last Name,Salary,Position,Team,Opponent,Projection,Points,Rebounds,Assists,3PM,final_projections
Johnny Juzang,1,4.7,SG,UTA,OKC,2.48,8.305,1.5750000000000002,1.065,2.7300000000000004,13.23625
P.J. Tucker,1,4.5,PF,LAC,POR,2.21,1.8399999999999999,3.12,0.475,0.545,6.7250000000000005
Ish Wainright,1,4.4,SF,PHX,PHI,1.61,0.84,1.165,0.045,0.305,2.51625
Jason Preston,1,4.4,PG,UTA,OKC,0.9,1.3199999999999998,1.295,0.9650000000000001,0.0,4.38625
Kira Lewis Jr.,1,4.3,PG,UTA,OKC,0.81,5.0600000000000005,0.675,1.31,0.42999999999999994,8.08375
Javon Freeman-Liberty,1,4.5,SG,TOR,SAC,0.84,7.845000000000001,3.9749999999999996,1.705,0.21500000000000002,15.47875
Mike Muscala,1,4.4,C,OKC,UTA,0.65,2.885,3.7,0.46,0.41500000000000004,8.407499999999999
Kessler Edwards,1,4.3,SF,SAC,TOR,0.61,4.27,1.03,0.345,0.72,6.435
Rayan Rupert,1,4.4,SG,POR,LAC,0.62,3.94,2.045,1.74,0.355,9.28375
Brandon Boston Jr.,1,4.5,SG,LAC,POR,0.6,7.16,2.32,0.28500000000000003,0.54,10.7575
